DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 BIT,t_0,,-,-,-,interface {}
t_1 BIT (8),t_1,,-,-,-,interface {}
t_2 TINYINT,t_2,,-,-,-,interface {}
t_3 TINYINT UNSIGNED,t_3,,-,-,-,interface {}
t_4 BOOL,t_4,,-,-,-,interface {}
t_5 BOOLEAN,t_5,,-,-,-,interface {}
t_6 SMALLINT,t_6,,-,-,-,interface {}
t_7 SMALLINT UNSIGNED,t_7,,-,-,-,interface {}
t_8 MEDIUMINT,t_8,,-,-,-,interface {}
t_9 MEDIUMINT UNSIGNED,t_9,,-,-,-,interface {}
t_10 INT,t_10,,-,-,-,interface {}
t_11 INT UNSIGNED,t_11,,-,-,-,interface {}
t_12 INTEGER,t_12,,-,-,-,interface {}
t_13 INTEGER UNSIGNED,t_13,,-,-,-,interface {}
t_14 BIGINT,t_14,,-,-,-,interface {}
t_15 BIGINT UNSIGNED,t_15,,-,-,-,interface {}
t_16 DECIMAL,t_16,,-,-,-,interface {}
t_17 DECIMAL UNSIGNED,t_17,,-,-,-,interface {}
"t_18 DECIMAL (8,4)",t_18,,-,-,-,interface {}
"t_19 DECIMAL (8,4) UNSIGNED",t_19,,-,-,-,interface {}
t_20 DEC,t_20,,-,-,-,interface {}
t_21 DEC UNSIGNED,t_21,,-,-,-,interface {}
"t_22 DEC (8,4)",t_22,,-,-,-,interface {}
"t_23 DEC (8,4) UNSIGNED",t_23,,-,-,-,interface {}
t_24 NUMERIC,t_24,,-,-,-,interface {}
t_25 NUMERIC UNSIGNED,t_25,,-,-,-,interface {}
"t_26 NUMERIC (8,4)",t_26,,-,-,-,interface {}
"t_27 NUMERIC (8,4) UNSIGNED",t_27,,-,-,-,interface {}
t_28 FIXED,t_28,,-,-,-,interface {}
t_29 FIXED UNSIGNED,t_29,,-,-,-,interface {}
"t_30 FIXED (8,4)",t_30,,-,-,-,interface {}
"t_31 FIXED (8,4) UNSIGNED",t_31,,-,-,-,interface {}
t_32 FLOAT,t_32,,-,-,-,interface {}
"t_33 FLOAT (5,2)",t_33,,-,-,-,interface {}
"t_34 FLOAT (100,30)",t_34,,-,-,-,interface {}
t_35 FLOAT UNSIGNED,t_35,,-,-,-,interface {}
"t_36 FLOAT (5,2) UNSIGNED",t_36,,-,-,-,interface {}
"t_37 FLOAT (100,30) UNSIGNED",t_37,,-,-,-,interface {}
t_38 DOUBLE,t_38,,-,-,-,interface {}
"t_39 DOUBLE (5,2)",t_39,,-,-,-,interface {}
"t_40 DOUBLE (100,30)",t_40,,-,-,-,interface {}
t_41 DOUBLE UNSIGNED,t_41,,-,-,-,interface {}
"t_42 DOUBLE (5,2) UNSIGNED",t_42,,-,-,-,interface {}
"t_43 DOUBLE (100,30) UNSIGNED",t_43,,-,-,-,interface {}
t_44 DOUBLE PRECISION,t_44,,-,-,-,interface {}
"t_45 DOUBLE PRECISION (5,2)",t_45,,-,-,-,interface {}
"t_46 DOUBLE PRECISION (100,30)",t_46,,-,-,-,interface {}
t_47 DOUBLE PRECISION UNSIGNED,t_47,,-,-,-,interface {}
"t_48 DOUBLE PRECISION (5,2) UNSIGNED",t_48,,-,-,-,interface {}
